seller_id,buyer_id,Commodity
2965,2990,Copper
2966,2990,Aluminium
2966,2962,Zinc
2968,2990,Zinc
2968,4078,Aluminium
4029,2990,Copper
4029,6969,Lead
4029,\N,Zinc
4029,6160,Tin
6156,2952,Lead
6156,2990,Copper
2922,6969,Lead
2952,6156,Zinc
2990,2965,Tin
2990,2966,Aluminium
2990,2968,Lead
2990,4029,Lead
2990,6156,Zinc
2990,2948,Tin
2990,2975,Aluminium
2948,2990,Zinc
2948,6969,Tin
2948,6160,Aluminium
2962,2966,Tin
6969,4029,Copper
6969,2922,Aluminium
6969,2948,Zinc
6969,2975,Zinc
2972,2975,Aluminium
2972,6160,Copper
4364,2975,Lead
4078,2968,Zinc
4078,2975,Tin
2975,2990,Lead
2975,6969,Copper
2975,2972,Lead
2975,4364,Zinc
2975,4078,Tin
\N,4029,Aluminium
6160,4029,Lead
6160,2948,Lead
6160,2972,Zinc
2936,2937,Tin
2936,4078,Aluminium
2968,4078,Zinc
2935,2937,Tin
2937,2936,Aluminium
2937,2935,Tin
2937,\N,Copper
2937,8944,Aluminium
2937,4078,Zinc
2937,6924,Zinc
2937,9026,Aluminium
2937,2923,Copper
\N,2937,Lead
2925,4078,Zinc
8944,2937,Tin
4078,2936,Lead
4078,2968,Copper
4078,2937,Lead
6924,2937,Zinc
9026,2937,Tin
2923,2937,Aluminium
2786,2789,Lead
2812,2789,Lead
2812,2808,Zinc
6067,2789,Tin
2801,2781,Aluminium
2801,2806,Zinc
2789,2786,Tin
2789,2812,Aluminium
2789,6067,Tin
2789,2781,Copper
2789,2806,Aluminium
2781,2801,Zinc
2781,2789,Zinc
2781,2806,Aluminium
2808,2812,Copper
2806,2801,Lead
2806,2789,Zinc
2806,2781,Tin
253,247,Lead
253,246,Copper
248,246,Lead
1044,253,Zinc
1044,1084,Tin
1044,246,Aluminium
247,253,Lead
247,246,Lead
245,298,Zinc
245,246,Tin
1084,1044,Aluminium
1084,246,Zinc
298,246,Tin
280,246,Aluminium
246,253,Tin
246,248,Copper
246,1044,Aluminium
246,247,Zinc
246,245,Zinc
246,1084,Aluminium
246,298,Copper
246,280,Lead
2709,2673,Zinc
2709,2688,Tin
2715,2673,Lead
2673,2709,Copper
2673,2715,Lead
2673,6045,Zinc
2673,2688,Tin
2670,2688,Aluminium
6045,2673,Lead
2688,2709,Lead
2688,2673,Zinc
2688,2670,Tin
1506,1678,Aluminium
1264,1678,Zinc
490,1678,Tin
1665,1054,Aluminium
1197,1678,Tin
1054,1678,Copper
4197,1678,Aluminium
1056,1665,Zinc
1678,1506,Zinc
1678,1264,Aluminium
1678,490,Copper
1678,1197,Lead
1678,1054,Zinc
1678,4197,Tin
730,719,Lead
737,715,Copper
737,709,Lead
737,688,Zinc
737,718,Tin
737,5595,Aluminium
737,719,Lead
737,442,Lead
737,722,Zinc
737,448,Tin
737,664,Aluminium
737,746,Zinc
737,729,Tin
737,711,Aluminium
715,737,Tin
715,718,Copper
709,737,Aluminium
709,688,Zinc
709,711,Zinc
5599,729,Aluminium
688,737,Copper
688,709,Lead
435,448,Zinc
718,737,Tin
718,715,Lead
5595,737,Copper
719,730,Lead
719,737,Zinc
442,737,Tin
442,460,Aluminium
722,737,Lead
644,711,Lead
448,737,Zinc
448,435,Tin
460,442,Aluminium
664,737,Zinc
746,737,Tin
729,737,Aluminium
729,5599,Tin
711,737,Copper
711,644,Aluminium
3531,7167,Zinc
3531,7168,Zinc
3531,7162,Aluminium
3531,7164,Copper
3531,7163,Lead
7167,7176,Zinc
7168,7173,Tin
7162,7161,Lead
7164,7165,Copper
7173,7172,Lead
6019,2397,Zinc
4200,2397,Tin
2399,2397,Aluminium
2400,2397,Lead
6024,2397,Lead
2425,2397,Zinc
8076,2397,Tin
6011,2397,Aluminium
2430,2397,Zinc
4203,2397,Tin
2397,6019,Aluminium
2397,4200,Tin
2397,2399,Copper
2397,2400,Aluminium
2397,6024,Zinc
2397,2425,Zinc
2397,8076,Aluminium
2397,6011,Copper
2397,2430,Copper
2397,4203,Aluminium
2397,4002,Zinc
2397,4204,Zinc
2397,2433,Aluminium
2397,6026,Copper
2397,6016,Lead
2397,6021,Zinc
2397,2404,Tin
4002,2397,Lead
4204,2397,Copper
2433,2397,Lead
6026,2397,Zinc
6016,2397,Tin
6021,2397,Aluminium
2404,2397,Lead
7376,4214,Lead
7373,2531,Zinc
7373,2621,Tin
2531,7373,Aluminium
2531,7367,Zinc
2531,2613,Tin
2535,2564,Aluminium
2548,2562,Tin
2548,7367,Copper
2538,7380,Aluminium
7380,2538,Zinc
7380,2564,Zinc
2560,2613,Aluminium
2564,2535,Copper
2564,7380,Lead
2564,2613,Zinc
2564,2635,Tin
2564,2633,Lead
2564,6039,Copper
2562,2548,Lead
2562,4214,Zinc
2562,2613,Tin
2562,2633,Aluminium
7367,2531,Lead
7367,2548,Lead
2528,2613,Zinc
4214,7376,Tin
4214,2562,Aluminium
2613,2531,Zinc
2613,2560,Tin
2613,2564,Aluminium
2613,2562,Tin
2613,2528,Copper
2613,2619,Aluminium
2613,2633,Zinc
2619,2613,Zinc
2621,7373,Aluminium
2621,6039,Copper
2635,2564,Lead
2635,2633,Zinc
2633,2564,Tin
2633,2562,Lead
2633,2613,Copper
2633,2635,Lead
6039,2564,Zinc
6039,2621,Tin
5726,3830,Aluminium
5726,3678,Lead
4042,3830,Lead
4042,3678,Zinc
3591,3678,Tin
3830,5726,Aluminium
3830,4042,Zinc
3678,5726,Tin
3678,4042,Aluminium
3678,3591,Tin
7144,7145,Copper
7144,3808,Aluminium
7145,7144,Zinc
7145,7147,Zinc
7145,3808,Aluminium
7147,7145,Copper
7147,3808,Lead
3808,7144,Zinc
3808,7145,Tin
3808,7147,Lead
3808,7146,Copper
7146,3808,Lead
248,1084,Zinc
248,273,Tin
248,1063,Aluminium
1218,1050,Lead
1050,1218,Lead
1050,1084,Zinc
1050,1059,Tin
4162,5665,Aluminium
1084,248,Zinc
1084,1050,Tin
1084,897,Aluminium
1084,1059,Tin
1084,273,Copper
1084,5665,Aluminium
897,1084,Zinc
897,273,Zinc
1059,1050,Aluminium
1059,1084,Copper
1059,502,Lead
1059,1063,Zinc
502,1059,Tin
273,248,Lead
273,1084,Copper
273,897,Lead
273,1063,Zinc
5665,4162,Tin
5665,1084,Aluminium
1063,248,Lead
1063,1059,Lead
1063,273,Zinc
5506,5504,Tin
5506,6727,Aluminium
5512,154,Zinc
62,5496,Tin
62,6727,Aluminium
62,146,Tin
5496,62,Copper
5496,5520,Aluminium
5496,5529,Zinc
5496,5515,Zinc
5496,146,Aluminium
5496,149,Copper
5504,5506,Lead
5504,5535,Zinc
5481,5508,Tin
5481,5499,Lead
5481,154,Copper
80,111,Lead
80,154,Zinc
80,161,Tin
80,202,Aluminium
5520,6727,Lead
5520,5515,Lead
5520,154,Zinc
5508,5481,Tin
5508,6728,Aluminium
5508,154,Zinc
6727,5506,Tin
6727,62,Aluminium
6727,5520,Tin
6727,154,Copper
111,80,Aluminium
111,146,Zinc
5499,5481,Zinc
5499,7253,Aluminium
5529,5496,Copper
5529,5515,Lead
6728,5508,Zinc
6728,154,Tin
5515,5496,Lead
5515,5520,Copper
5515,5529,Lead
146,62,Zinc
146,5496,Tin
146,111,Aluminium
146,149,Lead
149,5496,Lead
149,146,Zinc
154,5512,Tin
154,5496,Aluminium
154,5481,Zinc
154,80,Tin
154,5520,Aluminium
154,5508,Tin
154,6727,Copper
154,6728,Aluminium
7253,5499,Zinc
7253,5535,Zinc
161,80,Aluminium
161,202,Copper
5535,5504,Lead
5535,7253,Zinc
202,80,Tin
202,161,Lead
4119,2188,Copper
4119,2072,Lead
4119,5687,Zinc
5687,4059,Tin
4059,5687,Aluminium
3885,3316,Lead
3999,3316,Lead
4120,3316,Zinc
3386,3316,Tin
3077,3316,Aluminium
3179,3316,Zinc
3992,2397,Tin
3992,2276,Aluminium
3304,3316,Tin
2397,3992,Copper
2397,3316,Aluminium
3308,3316,Zinc
3351,3316,Zinc
3034,3316,Aluminium
3035,3316,Copper
3239,3316,Copper
3205,3316,Aluminium
3316,3885,Zinc
3316,3999,Zinc
3316,4120,Aluminium
3316,3386,Copper
3316,3077,Lead
3316,3179,Zinc
3316,3304,Tin
3316,2397,Lead
3316,3308,Copper
3316,3351,Lead
3316,3034,Zinc
3316,3035,Tin
3316,3239,Aluminium
3316,3205,Lead
3316,4302,Lead
3316,2276,Zinc
4302,3316,Tin
2276,3992,Aluminium
2276,3316,Zinc
1679,1558,Tin
338,1678,Aluminium
345,382,Tin
1558,1679,Copper
1558,382,Aluminium
1558,346,Zinc
1558,1678,Zinc
382,345,Aluminium
382,1558,Copper
382,342,Lead
382,1520,Zinc
382,351,Tin
382,1209,Lead
3986,1561,Copper
1609,1678,Lead
342,382,Zinc
346,1558,Tin
1561,3986,Aluminium
1520,382,Lead
1612,1678,Lead
351,382,Zinc
1209,382,Tin
1678,338,Aluminium
1678,1558,Zinc
1678,1609,Tin
1678,1612,Aluminium
3682,6958,Tin
3682,3754,Copper
3682,4335,Aluminium
3682,5756,Zinc
3682,5759,Zinc
3682,5773,Aluminium
1937,3533,Copper
1943,3533,Lead
1943,3722,Zinc
3875,3533,Tin
3875,3793,Lead
3875,3646,Copper
3533,1937,Lead
3533,1943,Zinc
3533,3875,Tin
3533,1948,Aluminium
3533,1941,Lead
3533,1944,Lead
3533,3878,Zinc
3533,1930,Tin
3533,1934,Aluminium
3533,3646,Zinc
1948,3533,Tin
1941,3533,Aluminium
1941,1944,Tin
1944,3533,Copper
6130,5773,Aluminium
3472,3878,Zinc
3472,3646,Zinc
3712,1930,Aluminium
3712,3646,Copper
6958,3682,Lead
3754,3682,Zinc
3754,3878,Tin
3878,3533,Lead
3878,3472,Copper
3878,3754,Lead
3878,1930,Zinc
3878,3564,Tin
3878,3793,Aluminium
3878,3698,Lead
4335,3682,Lead
1930,3533,Zinc
1930,3712,Tin
1930,3878,Aluminium
1930,3722,Zinc
5756,3682,Tin
3722,1943,Aluminium
3722,1930,Tin
3722,3646,Copper
5759,3682,Aluminium
3564,3878,Zinc
3564,3646,Zinc
3793,3875,Aluminium
3793,3878,Copper
1934,3533,Lead
3698,3878,Zinc
3698,3646,Tin
3646,3875,Lead
3646,3533,Copper
3646,3472,Lead
3646,3712,Zinc
3646,3722,Tin
3646,3564,Aluminium
3646,3698,Lead
5773,3682,Lead
5773,6130,Zinc
580,5673,Tin
580,1080,Aluminium
1218,1074,Zinc
1218,5673,Tin
